CommonName,ReserveStatus,r.squared,adj.r.squared,sigma,df,logLik,AIC,BIC,deviance,df.residual,nobs,term,estimate,std.error,statistic,p.value
"California sheephead, male",Outside,0.46001539437031447,0.45760474880946755,5799.90694629128,1,-2278.1006139479287,4562.201227895857,4572.462832893674,7535118211.182877,224,226,(Intercept),1515.1665609454562,439.541200527662,3.4471548039786115,6.765063895294844e-4
"California sheephead, male",Outside,0.46001539437031447,0.45760474880946755,5799.90694629128,1,-2278.1006139479287,4562.201227895857,4572.462832893674,7535118211.182877,224,226,Count,2155.6744157585827,156.04996113396732,13.814001619058129,8.306769252971688e-32
garibaldi,Inside,0.7869694278354622,0.7858825371611533,1775.8530531069237,1,-1761.3879083923086,3528.7758167846173,3538.640617876701,618116196.9809196,196,198,(Intercept),628.680753229354,157.01726079867223,4.003895813947802,8.836819311467137e-5
garibaldi,Inside,0.7869694278354622,0.7858825371611533,1775.8530531069237,1,-1761.3879083923086,3528.7758167846173,3538.640617876701,618116196.9809196,196,198,Count,304.785546187837,11.32682963140911,26.908283792198283,9.862724607358263e-68
garibaldi,Outside,0.7199780498215805,0.7188209343249754,2677.6685870665847,1,-2271.036111793353,4548.072223586706,4558.563728262586,1735117993.043485,242,244,(Intercept),1043.6111070192928,221.80716711042615,4.7050378065544365,4.270899437547902e-6
garibaldi,Outside,0.7199780498215805,0.7188209343249754,2677.6685870665847,1,-2271.036111793353,4548.072223586706,4558.563728262586,1735117993.043485,242,244,Count,311.7636495857062,12.498393780364074,24.944297248460085,7.770978985314993e-69
halfmoon,Inside,0.4690683734799954,0.4659994045405734,10545.326317884103,1,-1868.410141709478,3742.820283418956,3752.3146413407267,19238275937.064022,173,175,(Intercept),-829.321320723739,871.4331442444737,-0.9516752101995782,0.3425894243961497
halfmoon,Inside,0.4690683734799954,0.4659994045405734,10545.326317884103,1,-1868.410141709478,3742.820283418956,3752.3146413407267,19238275937.064022,173,175,Count,835.1783782809778,67.55498672412669,12.362941934865349,1.4445893220274975e-25
halfmoon,Outside,0.5866337380042238,0.5846559089994594,7363.913672360657,1,-2177.2084398909883,4360.416879781977,4370.472454182404,11333489935.961866,209,211,(Intercept),-352.402594878516,548.0525448348866,-0.643008773884419,0.5209232306126244
halfmoon,Outside,0.5866337380042238,0.5846559089994594,7363.913672360657,1,-2177.2084398909883,4360.416879781977,4370.472454182404,11333489935.961866,209,211,Count,808.4311379927033,46.94116732681603,17.222220580161665,5.790762334837321e-42
kelp bass,Inside,0.5975147280102281,0.5954507009743831,6826.625450259674,1,-2017.7571736019331,4041.5143472038662,4051.3639583900804,9087548932.435953,195,197,(Intercept),2326.183451935866,566.793515512025,4.104110912127247,5.962485227173408e-5
kelp bass,Inside,0.5975147280102281,0.5954507009743831,6826.625450259674,1,-2017.7571736019331,4041.5143472038662,4051.3639583900804,9087548932.435953,195,197,Count,197.6195249413404,11.614840078161254,17.01439913175503,2.137191032582686e-40
kelp bass,Outside,0.3190055476308842,0.3160702267155,3767.6429787984835,1,-2257.8312607616435,4521.662521523287,4532.02848486936,3293270998.8399663,232,234,(Intercept),1493.0291698282008,306.22883012826634,4.87553431596507,2.0136239921199444e-6
kelp bass,Outside,0.3190055476308842,0.3160702267155,3767.6429787984835,1,-2257.8312607616435,4521.662521523287,4532.02848486936,3293270998.8399663,232,234,Count,137.9435100408581,13.232135800075584,10.424886210740834,4.0514200946051524e-21
kelp rockfish,Inside,0.6096353288271835,0.6076127139506404,2733.363880873159,1,-1818.779072921115,3643.55814584223,3653.377144517921,1441956674.3155613,193,195,(Intercept),433.8491800998025,238.2290900888584,1.8211427493509655,0.07013358958799637
kelp rockfish,Inside,0.6096353288271835,0.6076127139506404,2733.363880873159,1,-1818.779072921115,3643.55814584223,3653.377144517921,1441956674.3155613,193,195,Count,263.89543193925977,15.200343692539853,17.361149015911824,2.76409472721987e-41
kelp rockfish,Outside,0.20905091741920206,0.20569943825572412,4566.390413517333,1,-2342.2049875807043,4690.4099751614085,4700.826787182423,4921053452.4444685,236,238,(Intercept),1995.0668791047874,332.92711579820207,5.992503417216584,7.669903609111946e-9
kelp rockfish,Outside,0.20905091741920206,0.20569943825572412,4566.390413517333,1,-2342.2049875807043,4690.4099751614085,4700.826787182423,4921053452.4444685,236,238,Count,108.553834571037,13.744767315337434,7.8978299217844565,1.070958949764408e-13
