ScientificName,CommonName,WL_a,WL_b,WL_W_units,WL_L_units,WL_input_length,WL_Reference_Notes,LC.a._for_WL,LC.b._for_WL,LC_type_for_WL,LL_Reference_Notes_for_WL,LL_Equation_for_WL
Cynoscion parvipinnis,Shortfin Corvina,6.52E-05,2.7354,g,mm,SL,Williams et al. 2013,1.136,0,REVERSE,FishBase,TL=1.136SL
Cynoscion xanthulus,Orangemouth Corvina,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cypselurus californicus,California Flyingfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypselurus sp.,flyingfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Dasyatis dipterura,Diamond Stingray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Decapterus macarellus,Mackerel Scad,7.00E-06,3.1246,g,mm,SL,used Trachurus symmetricus,0.795,0,TYPICAL,used Trachurus symmetricus,SL=0.795*TL
decomposed,decomposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Diaphus theta,California Headlightfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Dolichopteryx longipes,Brownsnout Spookfish,3.83E-06,3.238,g,mm,SL,used Atherinops affinis,1.1934,-0.00192,REVERSE,used Atherinops affinis,TL= 1.1934 *SL + -0.0192
Dorosoma petenense,Threadfin Shad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinorhinus cookei,Prickly Shark,0.0135,3,g,cm,TL,used Hexanchus griseus,NA,NA,NA,,
Embassichthys bathybius,Deepsea Sole,0.00407,3.248,g,cm,TL,used Microstomus pacificus,NA,NA,NA,,
Embiotoca jacksoni,Black Perch,8.00E-06,3.3244,g,mm,SL,Miller et al. 2008,0.799,-0.407,TYPICAL,RecFIN,(SL = aTL+b)cm
Embiotoca lateralis,Striped Seaperch,1.54E-05,3.01,g,mm,TL,RecFIN,NA,NA,NA,,
Embiotocidae,surfperches,8.00E-06,3.3244,g,mm,SL,used Embiotoca jacksoni,0.799,-0.407,TYPICAL,RecFIN,(SL = aTL+b)cm
Engraulidae,anchoves,5.60E-06,2.984,g,mm,TL,used Engraulis mordax,NA,NA,NA,,
Engraulidae/Atherinopsidae/Clupeidae,unidentified bait fish,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Engraulis mordax,Northern Anchovy,5.60E-06,2.984,g,mm,TL,RecFIN,NA,NA,NA,,
Engraulis mordax eggs,Northern Anchovy eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Enophrys bison,Buffalo Sculpin,1.79E-08,2.896,kg,mm,TL,RecFIN,NA,NA,NA,,
Enophrys taurina,Bull Sculpin,0.036821,2.747424,g,cm,TL,Love unpublished data,NA,NA,NA,,
Eopsetta jordani,Petrale Sole,3.06E-09,3.2395,kg,mm,TL,RecFIN,NA,NA,NA,,
Epinephelus labriformis,Flag Cabrilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Eptatretus spp.,hagfish,2.09E-05,2.6,g,mm,TL,used Eptatretus stoutii,NA,NA,NA,,
Eptatretus stoutii,Pacific Hagfish,2.09E-05,2.6,g,mm,TL,Reid 1990,NA,NA,NA,,
Ernogrammus walkeri,Masked Prickleback,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Etrumeus teres,Round Herring,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Exocoetidae,flyingfishes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Fundulus parvipinnis,California Killifish,1.49E-05,3.0819,g,mm,SL,Williams et al. 2013,1.1052,0.19122,REVERSE,Williams et al. 2013,TL= 1.1052 *SL + 1.9122
Gadus macrocephalus,Pacific Cod,1.38E-08,2.96,kg,mm,FL,Wildermuth et al. 1986 ,0.937207,1.19015933,TYPICAL,RecFIN,FL=.937207TL+1.19015933
Galeorhinus galeus,Tope Shark,7.78E-06,2.9285,g,mm,TL,Williams et al. 2013,NA,NA,NA,,
Gasterosteus aculeatus,Three-Spined Stickleback,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Genyonemus lineatus,White Croaker,3.30E-05,2.804,g,mm,TL, Issacson 1964,NA,NA,NA,,
Gibbonsia elegans,Spotted Kelpfish,4.80E-06,3.2364,g,mm,SL,Williams et al. 2013,1.1532,-0.03716,REVERSE,Williams et al. 2013,TL= 1.1532 *SL + -0.3716
Gibbonsia metzi,Striped Kelpfish,0.000109,2.570443,g,mm,TL,Burge and Schultz 1973,NA,NA,NA,,
Gibbonsia montereyensis,Crevice Kelpfish,0.000109,2.570443,g,mm,TL,used Gibbonsia metzi,NA,NA,NA,,
Gibbonsia sp.,kelp blenny,4.80E-06,3.2364,g,mm,SL,used Gibbonsia elegans,1.1532,-0.03716,REVERSE,used Gibbonsia elegans,TL= 1.1532 *SL + -0.3716
