,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXONOMY,,,RANGE,,AGE and GROWTH,,,,,,,,,,,,,,,,,,,,,,REPRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DISPERSAL & RECRUITMENT,,,,HABITAT ASSOCIATION & TROPHIC INTERACTIONS,,,,,,,,,,,,,,,,,,,,,GENETICS,,,,,,,,,RECRUITMENT INTO FISHERY,,,,,,MORTALITY,,,,,,,BEHAVIOR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 3.8-5.0 mm TL (at hatching),"planktonic in polyhaline to mesohaline areas (Sacramento-San Joaquin estuary, Moss Landing Harbor and Elkhorn Slough, CA) 6",NG 6,,,,4 NG,"estuary (Elkhorn Slough, central CA) 4","epifaunal crustaceans (amphipods,copepods,polychaetes) 4",,,western grebe (Aechmophorus occidentalis) 5,9 NG,"estuary (Elkhorn Slough, central CA) 9","epifaunal crustaceans (crabs,amphipods,macroalgae) 9",,,western grebe (Aechmophorus occidentalis) 5,,,,,,,,,,,,,,,,,,,,,,,,Parasite: cestode larvae (Acanthobothrium) in small intestine 3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 ~3.9 - 20 mm SL,"shallow water, riverine, estuarine, marine 9",planktivorous 9,,,,5 66-166 mm TL (juv & adult),"marsh (China Poot, Alaska) 5","generalist: amphipods,diptera larvae,plants,fish,detritus,insects,crustacean,oligochaetes 5",,,"mammals (harbor seal, CA sea lion, N. sea lion) 6",6 66-166 mm TL (juv & adult),"marsh (China Poot, Alaska) 6","generalist: amphipods,diptera larvae,plants,fish,detritus,insects,crustacean,oligochaetes 6",,,"mammals (harbor seal, CA sea lion, N. sea lion) 6",,,,,,,,,,,,,,,,,,,,,,,,Parasite: glossiphonid leech at isthmus 3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 3.3-24.3 cm TL,"estuary (Yaquina Bay, OR) 6",NG 6,,,size NG (juv or adult): harbor seal (Phoca vitulina richardsi) 9,6 3.3-24.3 cm TL,"estuary (Yaquina Bay, OR) 6",NG 6,,,harbour seal 7,,,,,,,,,,,,,,,,,,,,,,,,Parasite: cyclopoid copepod (Holobomolochus prolixus) at operculum 3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 54-140 mm SL? (juv & adult),"lagoon (Big Lagoon, Humboldt Co, CA) 7",amphipods 7,,,size NG (juv or adult): California gull (Larus californicus) 10,7 54-140 mm SL? (juv & adult),"lagoon (Big Lagoon, Humboldt Co, CA) 7",amphipods 7,,,size NG (juv or adult): harbor seal (Phoca vitulina richardsi) 9,,,,,,,,,,,,,,,,,,,,,,,,Parasite: nematode (Contracaecum magnus) 4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 59-220 mm SL? (juv & adult),"river (Mad River, Humboldt Co, CA) 7","algae, shrimp, amphipod, Dungeness crab legs, fish 7",,,"Caspian tern (Sterna caspia) 8,11",7 59-220 mm SL? (juv & adult),"river (Mad River, Humboldt Co, CA) 7","algae, shrimp, amphipod, Dungeness crab legs, fish 7",,,size NG (juv or adult): California gull (Larus californicus) 10,,,,,,,,,,,,,,,,,,,,,,,,"Parasite: Trematode (Ascocotyle diminuta) on gills; Pt Mugu, CA 5",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 105-290 mm SL? (juv & adult),"bay (Humboldt Bay, Humboldt Co, CA) 7","Dungeness crab, fish, amphipods, polychaete, isopods, shrimp 7",,,western gull (Larus occidentalis) 11,7 105-290 mm SL? (juv & adult),"bay (Humboldt Bay, Humboldt Co, CA) 7","Dungeness crab, fish, amphipods, polychaete, isopods, shrimp 7",,,"caspian tern (Sterna caspia), western gull (Larus occidentalis) 11",,,,,,,,,,,,,,,,,,,,,,,,"Parasite: Haemogregarina leptocotti in blood; Humboldt Bay, CA 6",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 107-160 mm TL (juv & adult),intertidal 8,Dungeness crab 8,,,harbor seal (Phoca vitulina richardsi) 12,8 107-160 mm TL (juv & adult),intertidal 8,Dungeness crab 8,,,harbor seal (Phoca vitulina richardsi) 12,,,,,,,,,,,,,,,,,,,,,,,,"Parasite: acanthocephalan (Echinorhynchus gadi) in intestine; Coos Bay, OR 8",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 99-205 mm SL (juv & adult),"bay/estuary (San Francisco Bay, CA) 9","shrimp, crabs, fish, amphipods, Callianassids, bivalve mollusks, polychaetes, isopods, other 9",,,,10 >70 mm SL,"tideflat (Coos Bay, OR) 10",burrowing ghost shrimp (Callianassa californiensis) 10,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parasite: acanthocephalans (Podocotyle olssoni, P. reflexa) in intestine; Coos Bay, OR 8",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,11 60-118 mm TL (0+)","estuary (Grays Harbor, WA) 10,11","carnivore: nereid polychaetes, ghost shrimp, sand shrimps, juv crabs, bivalve siphon tips, unid crustaceans 10,11",,,,11 99-205 mm SL (juv & adult),"bay/estuary (San Francisco Bay, CA) 11","shrimp, crabs, fish, amphipods, Callianassids, bivalve mollusks, polychaetes, isopods, other 11",,,,,,,,,,,,,,,,,,,,,,,,,,,"Parasite: trematode (Tubulovesicula sp) in stomach, intestine, gill region; Coos Bay, OR 8",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 ~26-31.4 mm TL (juv),"bay (Skagit Bay, Puget Sound, WA) 12","carnivore: crustaceans, polychaetes, insects 12",,,,"12,13 ³118 mm TL (1+ and older)","estuary (Grays Harbor, WA) 12,13","carnivore: ghost shrimp, nereid polychaete, mud shrimp, juv crabs, gammarid amphipod, sand shrimp, fish 12,13",,,,,,,,,,,,,,,,,,,,,,,,,,,"Parasite: nematodes (Contracaecum sp, Anisakis sp) in intestine and body musculature; Coos Bay OR 8",,,,,,
